Exp3 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 8s 25 0.26667 scrambled-269.jpg
1 8s 25.2667 0.26667 scrambled-680.jpg
1 8s 25.5333 0.26667 scrambled-20.jpg
1 8s 25.8 0.26667 scrambled-1166.jpg
1 8s 26.0667 0.26667 scrambled-631.jpg
1 8s 26.3333 0.26667 scrambled-349.jpg
1 8s 26.6 0.26667 scrambled-396.jpg
1 8s 26.8667 0.26667 scrambled-28.jpg
1 8s 27.1333 0.26667 scrambled-10.jpg
1 8s 27.4 0.26667 scrambled-448.jpg
1 8s 27.6667 0.26667 scrambled-948.jpg
1 8s 27.9333 0.26667 scrambled-848.jpg
1 8s 28.2 0.26667 scrambled-249.jpg
1 8s 28.4667 0.26667 scrambled-1052.jpg
1 8s 28.7333 0.26667 scrambled-1195.jpg
1 8s 29 0.26667 scrambled-291.jpg
1 8s 29.2667 0.26667 scrambled-641.jpg
1 8s 29.5333 0.26667 scrambled-1095.jpg
1 8s 29.8 0.26667 scrambled-163.jpg
1 8s 30.0667 0.26667 scrambled-1116.jpg
1 8s 30.3333 0.26667 scrambled-533.jpg
1 8s 30.6 0.26667 scrambled-1014.jpg
1 8s 30.8667 0.26667 scrambled-22.jpg
1 8s 31.1333 0.26667 scrambled-1230.jpg
1 8s 31.4 0.26667 scrambled-746.jpg
1 8s 31.6667 0.26667 scrambled-1221.jpg
1 8s 31.9333 0.26667 scrambled-1175.jpg
1 8s 32.2 0.26667 scrambled-761.jpg
1 8s 32.4667 0.26667 scrambled-634.jpg
1 8s 32.7333 0.26667 scrambled-140.jpg
2 2s 45 0.066667 scrambled-1423.jpg
2 2s 45.0667 0.066667 scrambled-784.jpg
2 2s 45.1333 0.066667 scrambled-666.jpg
2 2s 45.2 0.066667 scrambled-331.jpg
2 2s 45.2667 0.066667 scrambled-732.jpg
2 2s 45.3333 0.066667 scrambled-80.jpg
2 2s 45.4 0.066667 scrambled-693.jpg
2 2s 45.4667 0.066667 scrambled-1128.jpg
2 2s 45.5333 0.066667 scrambled-1228.jpg
2 2s 45.6 0.066667 scrambled-588.jpg
2 2s 45.6667 0.066667 scrambled-1436.jpg
2 2s 45.7333 0.066667 scrambled-1437.jpg
2 2s 45.8 0.066667 scrambled-711.jpg
2 2s 45.8667 0.066667 scrambled-853.jpg
2 2s 45.9333 0.066667 scrambled-289.jpg
2 2s 46 0.066667 scrambled-158.jpg
2 2s 46.0667 0.066667 scrambled-987.jpg
2 2s 46.1333 0.066667 scrambled-1356.jpg
2 2s 46.2 0.066667 scrambled-313.jpg
2 2s 46.2667 0.066667 scrambled-772.jpg
2 2s 46.3333 0.066667 scrambled-744.jpg
2 2s 46.4 0.066667 scrambled-670.jpg
2 2s 46.4667 0.066667 scrambled-508.jpg
2 2s 46.5333 0.066667 scrambled-971.jpg
2 2s 46.6 0.066667 scrambled-1377.jpg
2 2s 46.6667 0.066667 scrambled-1040.jpg
2 2s 46.7333 0.066667 scrambled-428.jpg
2 2s 46.8 0.066667 scrambled-397.jpg
2 2s 46.8667 0.066667 scrambled-1236.jpg
2 2s 46.9333 0.066667 scrambled-1375.jpg
3 30s 59 1 scrambled-292.jpg
3 30s 60 1 scrambled-730.jpg
3 30s 61 1 scrambled-1288.jpg
3 30s 62 1 scrambled-785.jpg
3 30s 63 1 scrambled-893.jpg
3 30s 64 1 scrambled-79.jpg
3 30s 65 1 scrambled-134.jpg
3 30s 66 1 scrambled-882.jpg
3 30s 67 1 scrambled-1428.jpg
3 30s 68 1 scrambled-107.jpg
3 30s 69 1 scrambled-751.jpg
3 30s 70 1 scrambled-178.jpg
3 30s 71 1 scrambled-660.jpg
3 30s 72 1 scrambled-1076.jpg
3 30s 73 1 scrambled-307.jpg
3 30s 74 1 scrambled-613.jpg
3 30s 75 1 scrambled-100.jpg
3 30s 76 1 scrambled-1205.jpg
3 30s 77 1 scrambled-1357.jpg
3 30s 78 1 scrambled-115.jpg
3 30s 79 1 scrambled-229.jpg
3 30s 80 1 scrambled-804.jpg
3 30s 81 1 scrambled-812.jpg
3 30s 82 1 scrambled-1037.jpg
3 30s 83 1 scrambled-1011.jpg
3 30s 84 1 scrambled-786.jpg
3 30s 85 1 scrambled-750.jpg
3 30s 86 1 scrambled-580.jpg
3 30s 87 1 scrambled-411.jpg
3 30s 88 1 scrambled-463.jpg
4 15s 101 0.5 scrambled-826.jpg
4 15s 101.5 0.5 scrambled-859.jpg
4 15s 102 0.5 scrambled-737.jpg
4 15s 102.5 0.5 scrambled-520.jpg
4 15s 103 0.5 scrambled-390.jpg
4 15s 103.5 0.5 scrambled-1218.jpg
4 15s 104 0.5 scrambled-1363.jpg
4 15s 104.5 0.5 scrambled-153.jpg
4 15s 105 0.5 scrambled-294.jpg
4 15s 105.5 0.5 scrambled-23.jpg
4 15s 106 0.5 scrambled-936.jpg
4 15s 106.5 0.5 scrambled-869.jpg
4 15s 107 0.5 scrambled-253.jpg
4 15s 107.5 0.5 scrambled-1115.jpg
4 15s 108 0.5 scrambled-1111.jpg
4 15s 108.5 0.5 scrambled-708.jpg
4 15s 109 0.5 scrambled-822.jpg
