Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 30s 12 0.033333 scrambled-465.jpg
1 30s 13 0.033333 scrambled-1257.jpg
1 30s 14 0.033333 scrambled-1294.jpg
1 30s 15 0.033333 scrambled-970.jpg
1 30s 16 0.033333 scrambled-1304.jpg
1 30s 17 0.033333 scrambled-907.jpg
1 30s 18 0.033333 scrambled-478.jpg
1 30s 19 0.033333 scrambled-217.jpg
1 30s 20 0.033333 scrambled-657.jpg
1 30s 21 0.033333 scrambled-1032.jpg
1 30s 22 0.033333 scrambled-7.jpg
1 30s 23 0.033333 scrambled-707.jpg
1 30s 24 0.033333 scrambled-1330.jpg
1 30s 25 0.033333 scrambled-197.jpg
1 30s 26 0.033333 scrambled-671.jpg
1 30s 27 0.033333 scrambled-1197.jpg
1 30s 28 0.033333 scrambled-652.jpg
1 30s 29 0.033333 scrambled-167.jpg
1 30s 30 0.033333 scrambled-944.jpg
1 30s 31 0.033333 scrambled-894.jpg
1 30s 32 0.033333 scrambled-229.jpg
1 30s 33 0.033333 scrambled-637.jpg
1 30s 34 0.033333 scrambled-347.jpg
1 30s 35 0.033333 scrambled-87.jpg
1 30s 36 0.033333 scrambled-921.jpg
1 30s 37 0.033333 scrambled-697.jpg
1 30s 38 0.033333 scrambled-59.jpg
1 30s 39 0.033333 scrambled-580.jpg
1 30s 40 0.033333 scrambled-905.jpg
1 30s 41 0.033333 scrambled-723.jpg
2 4s 54 0.033333 scrambled-338.jpg
2 4s 54.1333 0.033333 scrambled-1097.jpg
2 4s 54.2667 0.033333 scrambled-1075.jpg
2 4s 54.4 0.033333 scrambled-102.jpg
2 4s 54.5333 0.033333 scrambled-246.jpg
2 4s 54.6667 0.033333 scrambled-296.jpg
2 4s 54.8 0.033333 scrambled-772.jpg
2 4s 54.9333 0.033333 scrambled-848.jpg
2 4s 55.0667 0.033333 scrambled-628.jpg
2 4s 55.2 0.033333 scrambled-393.jpg
2 4s 55.3333 0.033333 scrambled-1003.jpg
2 4s 55.4667 0.033333 scrambled-1322.jpg
2 4s 55.6 0.033333 scrambled-1253.jpg
