Exp3 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 8s 12 0.26667 scrambled-1297.jpg
1 8s 12.2667 0.26667 scrambled-663.jpg
1 8s 12.5333 0.26667 scrambled-214.jpg
1 8s 12.8 0.26667 scrambled-943.jpg
1 8s 13.0667 0.26667 scrambled-1390.jpg
1 8s 13.3333 0.26667 scrambled-1342.jpg
1 8s 13.6 0.26667 scrambled-1348.jpg
1 8s 13.8667 0.26667 scrambled-999.jpg
1 8s 14.1333 0.26667 scrambled-1091.jpg
1 8s 14.4 0.26667 scrambled-265.jpg
1 8s 14.6667 0.26667 scrambled-164.jpg
1 8s 14.9333 0.26667 scrambled-461.jpg
1 8s 15.2 0.26667 scrambled-222.jpg
1 8s 15.4667 0.26667 scrambled-1408.jpg
1 8s 15.7333 0.26667 scrambled-1094.jpg
1 8s 16 0.26667 scrambled-594.jpg
1 8s 16.2667 0.26667 scrambled-1272.jpg
1 8s 16.5333 0.26667 scrambled-1069.jpg
1 8s 16.8 0.26667 scrambled-1123.jpg
1 8s 17.0667 0.26667 scrambled-282.jpg
1 8s 17.3333 0.26667 scrambled-333.jpg
1 8s 17.6 0.26667 scrambled-979.jpg
1 8s 17.8667 0.26667 scrambled-1266.jpg
1 8s 18.1333 0.26667 scrambled-200.jpg
1 8s 18.4 0.26667 scrambled-925.jpg
1 8s 18.6667 0.26667 scrambled-97.jpg
1 8s 18.9333 0.26667 scrambled-1315.jpg
1 8s 19.2 0.26667 scrambled-857.jpg
1 8s 19.4667 0.26667 scrambled-1310.jpg
1 8s 19.7333 0.26667 scrambled-981.jpg
2 30s 32 1 scrambled-1034.jpg
2 30s 33 1 scrambled-821.jpg
2 30s 34 1 scrambled-117.jpg
2 30s 35 1 scrambled-251.jpg
2 30s 36 1 scrambled-1230.jpg
2 30s 37 1 scrambled-1406.jpg
2 30s 38 1 scrambled-1115.jpg
2 30s 39 1 scrambled-1060.jpg
2 30s 40 1 scrambled-180.jpg
2 30s 41 1 scrambled-554.jpg
2 30s 42 1 scrambled-1130.jpg
2 30s 43 1 scrambled-280.jpg
2 30s 44 1 scrambled-729.jpg
2 30s 45 1 scrambled-691.jpg
2 30s 46 1 scrambled-133.jpg
2 30s 47 1 scrambled-218.jpg
2 30s 48 1 scrambled-1074.jpg
2 30s 49 1 scrambled-1081.jpg
2 30s 50 1 scrambled-730.jpg
2 30s 51 1 scrambled-712.jpg
2 30s 52 1 scrambled-1184.jpg
2 30s 53 1 scrambled-1312.jpg
2 30s 54 1 scrambled-131.jpg
2 30s 55 1 scrambled-1403.jpg
2 30s 56 1 scrambled-602.jpg
2 30s 57 1 scrambled-736.jpg
2 30s 58 1 scrambled-994.jpg
2 30s 59 1 scrambled-40.jpg
2 30s 60 1 scrambled-1182.jpg
2 30s 61 1 scrambled-1160.jpg
3 4s 74 0.13333 scrambled-1224.jpg
3 4s 74.1333 0.13333 scrambled-1203.jpg
3 4s 74.2667 0.13333 scrambled-535.jpg
3 4s 74.4 0.13333 scrambled-560.jpg
3 4s 74.5333 0.13333 scrambled-61.jpg
3 4s 74.6667 0.13333 scrambled-1056.jpg
3 4s 74.8 0.13333 scrambled-343.jpg
3 4s 74.9333 0.13333 scrambled-28.jpg
3 4s 75.0667 0.13333 scrambled-122.jpg
3 4s 75.2 0.13333 scrambled-98.jpg
3 4s 75.3333 0.13333 scrambled-247.jpg
3 4s 75.4667 0.13333 scrambled-236.jpg
3 4s 75.6 0.13333 scrambled-1428.jpg
3 4s 75.7333 0.13333 scrambled-1280.jpg
3 4s 75.8667 0.13333 scrambled-194.jpg
3 4s 76 0.13333 scrambled-640.jpg
3 4s 76.1333 0.13333 scrambled-936.jpg
3 4s 76.2667 0.13333 scrambled-546.jpg
3 4s 76.4 0.13333 scrambled-1248.jpg
3 4s 76.5333 0.13333 scrambled-440.jpg
3 4s 76.6667 0.13333 scrambled-1199.jpg
3 4s 76.8 0.13333 scrambled-844.jpg
3 4s 76.9333 0.13333 scrambled-1394.jpg
