Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 8s 12 0.033333 scrambled-260.jpg
1 8s 12.2667 0.033333 scrambled-191.jpg
1 8s 12.5333 0.033333 scrambled-481.jpg
1 8s 12.8 0.033333 scrambled-1029.jpg
1 8s 13.0667 0.033333 scrambled-996.jpg
1 8s 13.3333 0.033333 scrambled-355.jpg
1 8s 13.6 0.033333 scrambled-47.jpg
1 8s 13.8667 0.033333 scrambled-586.jpg
1 8s 14.1333 0.033333 scrambled-520.jpg
1 8s 14.4 0.033333 scrambled-512.jpg
1 8s 14.6667 0.033333 scrambled-262.jpg
1 8s 14.9333 0.033333 scrambled-201.jpg
1 8s 15.2 0.033333 scrambled-819.jpg
1 8s 15.4667 0.033333 scrambled-609.jpg
1 8s 15.7333 0.033333 scrambled-1261.jpg
1 8s 16 0.033333 scrambled-158.jpg
1 8s 16.2667 0.033333 scrambled-1039.jpg
1 8s 16.5333 0.033333 scrambled-1324.jpg
1 8s 16.8 0.033333 scrambled-12.jpg
1 8s 17.0667 0.033333 scrambled-838.jpg
1 8s 17.3333 0.033333 scrambled-138.jpg
1 8s 17.6 0.033333 scrambled-880.jpg
1 8s 17.8667 0.033333 scrambled-867.jpg
1 8s 18.1333 0.033333 scrambled-99.jpg
1 8s 18.4 0.033333 scrambled-815.jpg
1 8s 18.6667 0.033333 scrambled-1202.jpg
1 8s 18.9333 0.033333 scrambled-951.jpg
1 8s 19.2 0.033333 scrambled-624.jpg
1 8s 19.4667 0.033333 scrambled-325.jpg
1 8s 19.7333 0.033333 scrambled-1256.jpg
2 2s 32 0.033333 scrambled-514.jpg
2 2s 32.0667 0.033333 scrambled-698.jpg
2 2s 32.1333 0.033333 scrambled-1382.jpg
2 2s 32.2 0.033333 scrambled-776.jpg
2 2s 32.2667 0.033333 scrambled-1390.jpg
2 2s 32.3333 0.033333 scrambled-1057.jpg
2 2s 32.4 0.033333 scrambled-668.jpg
2 2s 32.4667 0.033333 scrambled-1351.jpg
2 2s 32.5333 0.033333 scrambled-118.jpg
2 2s 32.6 0.033333 scrambled-157.jpg
2 2s 32.6667 0.033333 scrambled-800.jpg
2 2s 32.7333 0.033333 scrambled-436.jpg
2 2s 32.8 0.033333 scrambled-1267.jpg
2 2s 32.8667 0.033333 scrambled-781.jpg
2 2s 32.9333 0.033333 scrambled-1125.jpg
2 2s 33 0.033333 scrambled-743.jpg
2 2s 33.0667 0.033333 scrambled-453.jpg
2 2s 33.1333 0.033333 scrambled-1193.jpg
2 2s 33.2 0.033333 scrambled-31.jpg
2 2s 33.2667 0.033333 scrambled-1439.jpg
2 2s 33.3333 0.033333 scrambled-1129.jpg
2 2s 33.4 0.033333 scrambled-1366.jpg
2 2s 33.4667 0.033333 scrambled-995.jpg
2 2s 33.5333 0.033333 scrambled-33.jpg
2 2s 33.6 0.033333 scrambled-992.jpg
2 2s 33.6667 0.033333 scrambled-569.jpg
2 2s 33.7333 0.033333 scrambled-1372.jpg
2 2s 33.8 0.033333 scrambled-1082.jpg
2 2s 33.8667 0.033333 scrambled-1173.jpg
2 2s 33.9333 0.033333 scrambled-293.jpg
