Exp2 conditions: 2s, 4s, 8s, 15s, 30s
Run duration (s): 276

Trial Condition Onset Duration Image
1 2s 12 0.033333 scrambled-968.jpg
1 2s 12.0667 0.033333 scrambled-897.jpg
1 2s 12.1333 0.033333 scrambled-165.jpg
1 2s 12.2 0.033333 scrambled-79.jpg
1 2s 12.2667 0.033333 scrambled-834.jpg
1 2s 12.3333 0.033333 scrambled-1053.jpg
1 2s 12.4 0.033333 scrambled-1207.jpg
1 2s 12.4667 0.033333 scrambled-1324.jpg
1 2s 12.5333 0.033333 scrambled-283.jpg
1 2s 12.6 0.033333 scrambled-375.jpg
1 2s 12.6667 0.033333 scrambled-363.jpg
1 2s 12.7333 0.033333 scrambled-1007.jpg
1 2s 12.8 0.033333 scrambled-1332.jpg
1 2s 12.8667 0.033333 scrambled-117.jpg
1 2s 12.9333 0.033333 scrambled-63.jpg
1 2s 13 0.033333 scrambled-1168.jpg
1 2s 13.0667 0.033333 scrambled-1257.jpg
1 2s 13.1333 0.033333 scrambled-1275.jpg
1 2s 13.2 0.033333 scrambled-717.jpg
1 2s 13.2667 0.033333 scrambled-1367.jpg
1 2s 13.3333 0.033333 scrambled-1018.jpg
1 2s 13.4 0.033333 scrambled-844.jpg
1 2s 13.4667 0.033333 scrambled-374.jpg
1 2s 13.5333 0.033333 scrambled-406.jpg
1 2s 13.6 0.033333 scrambled-293.jpg
1 2s 13.6667 0.033333 scrambled-530.jpg
1 2s 13.7333 0.033333 scrambled-980.jpg
1 2s 13.8 0.033333 scrambled-126.jpg
1 2s 13.8667 0.033333 scrambled-614.jpg
1 2s 13.9333 0.033333 scrambled-297.jpg
2 15s 26 0.033333 scrambled-880.jpg
2 15s 26.5 0.033333 scrambled-186.jpg
2 15s 27 0.033333 scrambled-795.jpg
2 15s 27.5 0.033333 scrambled-337.jpg
2 15s 28 0.033333 scrambled-1414.jpg
2 15s 28.5 0.033333 scrambled-1215.jpg
2 15s 29 0.033333 scrambled-1075.jpg
